"Timestamp","WhatsApp Contacts","Instagram Followers"
"8/23/2018 11:34:28",262,514
"8/23/2018 12:53:20",109,
"8/23/2018 13:10:19",235,70
"8/23/2018 14:11:23",300,
"8/23/2018 14:29:54",219,123
"8/23/2018 14:44:28",202,
"8/23/2018 14:50:17",184,217
"8/23/2018 15:03:52",6,
"8/23/2018 15:11:33",227,174
"8/23/2018 16:31:54",873,266
"8/23/2018 16:47:29",50,124
"8/23/2018 19:38:40",40,250
"8/24/2018 20:34:44",1504,154
"9/2/2018 9:06:23",5,90
"9/2/2018 9:54:44",39,68
"10/2/2018 14:58:38",550,918
"10/2/2018 14:59:21",70,
"10/2/2018 14:59:58",295,
"10/2/2018 15:00:06",265,606
"10/2/2018 15:00:31",103,466
"10/2/2018 15:00:39",137,267
"10/2/2018 15:00:51",321,631
"10/2/2018 15:01:03",480,626
"10/2/2018 15:01:05",,494
"10/2/2018 15:01:11",186,270
"10/2/2018 15:01:19",241,278
"10/2/2018 15:01:29",75,48
"10/2/2018 15:01:44",355,432
"10/2/2018 15:01:54",,964
"10/2/2018 15:02:03",,
"10/2/2018 15:02:08",293,673
"10/2/2018 15:02:26",,867
"10/2/2018 15:02:46",,456
"10/2/2018 15:03:03",399,
"10/2/2018 15:03:08",400,1113
"10/2/2018 15:03:14",,296
"10/2/2018 15:03:17",300,160
"10/2/2018 15:03:30",296,681
"10/2/2018 15:03:43",60,104
"10/2/2018 15:03:45",108,117
"10/2/2018 15:03:48",76,458
"10/2/2018 15:04:52",,432
"10/2/2018 15:04:53",220,
"10/2/2018 18:33:30",265,606
"10/4/2018 15:01:58",138,115
"10/4/2018 15:03:25",465,401
"10/4/2018 15:03:37",257,424
"10/4/2018 15:07:51",734,542
"10/4/2018 20:49:10",43,
"10/31/2018 5:47:29",200,467
"4/10/2019 16:40:23",,
"4/25/2019 13:14:59",281,640
"5/16/2019 10:27:38",256,621
"10/1/2019 9:07:48",,
"10/1/2019 9:07:53",204,300
"10/1/2019 9:08:27",314,444
"10/1/2019 15:22:59",324,666
"10/1/2019 15:23:04",75,172
"10/1/2019 15:23:11",73,376
"10/1/2019 15:23:15",139,
"10/1/2019 15:23:18",53,273
"10/1/2019 15:23:23",150,534
"10/1/2019 15:23:28",251,309
"10/1/2019 15:23:36",278,420
"10/1/2019 15:23:39",337,413
"10/1/2019 15:23:40",256,362
"10/1/2019 15:23:43",33,
"10/1/2019 15:23:43",512,550
"10/1/2019 15:23:44",617,631
"10/1/2019 15:23:47",44,903
"10/1/2019 15:23:49",146,456
"10/1/2019 15:23:52",380,504
"10/1/2019 15:23:53",234,1014
"10/1/2019 15:23:54",230,622
"10/1/2019 15:24:11",295,494
"10/1/2019 15:24:18",55,500
"10/1/2019 15:24:23",282,128
"10/1/2019 15:24:23",125,24
"10/1/2019 15:24:39",182,261
"10/1/2019 15:24:39",123,363
"10/1/2019 15:24:50",699,427
"10/1/2019 15:24:51",139,307
"10/3/2019 15:30:33",187,
"10/3/2019 15:30:46",287,860
"10/3/2019 15:30:51",314,522
"10/3/2019 15:30:53",197,880
"10/3/2019 15:30:54",,206
"10/3/2019 15:30:57",418,1153
"10/3/2019 15:31:01",100,1052
"10/3/2019 15:31:02",205,1130
"10/3/2019 15:31:08",,703
"10/3/2019 15:31:12",420,249
"10/3/2019 15:31:14",216,949
"10/3/2019 15:31:29",367,796
"10/3/2019 15:31:38",278,760
"10/3/2019 15:31:41",65,294
"10/3/2019 15:31:50",68,712
"10/3/2019 15:32:29",682,605
"10/3/2019 15:32:48",392,975
"10/3/2019 15:33:07",474,1000
"10/3/2019 15:33:17",303,1244
"10/3/2019 15:35:31",528,541
"10/3/2019 15:44:09",500,1109
"10/3/2019 16:05:14",200,165
"10/3/2019 17:30:14",367,796
"10/13/2019 17:02:30",540,750
"1/4/2020 15:37:28",205,261
"1/6/2020 18:09:37",333,372
"1/10/2020 0:08:20",136,45
"4/14/2020 17:03:58",359,566
"4/17/2020 16:27:15",23,100
"5/1/2020 16:04:35",,593
"5/3/2020 18:59:44",256,
"7/28/2020 10:55:57",708,1713
"10/5/2020 17:04:43",389,307
"10/7/2020 10:39:51",159,55
"10/7/2020 17:14:46",256,770
"10/7/2020 17:15:12",72,130
"10/7/2020 17:15:23",154,28
"10/7/2020 17:15:26",78,40
"10/7/2020 17:15:34",464,777
"10/7/2020 17:15:35",300,
"10/7/2020 17:15:37",256,532
"10/7/2020 17:15:38",306,702
"10/7/2020 17:15:38",210,1270
"10/7/2020 17:15:40",115,728
"10/7/2020 17:15:42",155,347
"10/7/2020 17:15:46",203,696
"10/7/2020 17:15:56",312,1282
"10/8/2020 0:52:36",210,1270
"10/9/2020 15:14:00",244,447
"10/9/2020 15:14:02",471,896
"10/9/2020 15:14:03",560,698
"10/9/2020 15:14:04",233,321
"10/9/2020 15:14:08",321,
"10/9/2020 15:14:14",255,457
"10/9/2020 15:14:15",362,575
"10/9/2020 15:14:15",115,123
"10/9/2020 15:14:15",394,926
"10/9/2020 15:14:17",481,500
"10/9/2020 15:14:19",94,
"10/9/2020 15:14:20",269,314
"10/9/2020 15:14:22",241,327
"10/9/2020 15:14:23",80,131
"10/9/2020 15:14:29",180,310
"10/9/2020 15:14:30",205,
"10/9/2020 15:14:32",829,600
"10/9/2020 15:14:33",260,600
"10/9/2020 15:14:35",156,216
"10/9/2020 15:14:45",256,589
"10/9/2020 15:14:49",340,208
"10/9/2020 15:14:50",108,256
"10/9/2020 15:14:55",627,324
"10/9/2020 15:15:02",256,394
"10/9/2020 15:15:06",85,4
"10/9/2020 15:15:08",127,153
"10/9/2020 15:15:44",950,2935
"10/9/2020 15:51:49",829,600
"10/9/2020 21:56:53",255,457
"10/16/2020 15:24:31",297,476
"10/6/2021 18:10:38",641,693
"10/6/2021 18:10:41",412,823
"10/6/2021 18:10:46",190,265
"10/6/2021 18:10:47",169,767
"10/6/2021 18:10:48",184,537
"10/6/2021 18:10:48",288,500
"10/6/2021 18:10:54",152,430
"10/6/2021 18:11:03",256,1321
"10/6/2021 18:11:11",200,2542
"10/6/2021 18:11:20",113,354
"10/6/2021 18:11:23",256,580
"10/6/2021 18:11:26",474,518
"10/6/2021 18:11:34",144,206
"10/6/2021 18:11:44",258,736
"10/6/2021 18:11:59",256,525
"10/6/2021 18:12:01",313,906
"10/6/2021 18:12:01",150,415
"10/6/2021 18:12:19",378,1327
"10/6/2021 18:12:26",360,520
"10/6/2021 18:12:32",581,1094
"10/14/2021 19:52:55",256,218
"10/14/2021 19:53:04",260,432
"10/14/2021 19:53:23",235,319
"10/14/2021 19:53:41",256,1763
"10/14/2021 19:53:48",,1181
"10/14/2021 19:53:49",256,821
"10/14/2021 19:53:52",105,140
"10/14/2021 19:53:52",102,
"10/14/2021 19:53:57",186,628
"10/14/2021 19:53:58",256,180
"10/14/2021 19:54:07",,779
"10/14/2021 19:54:08",198,403
"10/14/2021 19:54:09",,1192
"10/14/2021 19:54:09",67,476
"10/14/2021 19:54:22",395,713
"10/14/2021 19:54:29",,544
"10/14/2021 19:54:38",635,482
"10/18/2021 15:53:19",521,270
"12/6/2021 17:50:42",,
